Name,Age,Cause
George Washington Law,44.0,Gunfire
William Henry Healy,33.0,Other
W. W. Dundon,25.0,Gunfire
Solomon White,33.0,Other
Simon H. Clauser,31.0,Gunfire
Richard Roach,26.0,Gunfire
James Robert Godley,31.0,Gunfire
Philip Schuyler Smith,45.0,Other
Thomas Evers,35.0,Other
John Morgan,39.0,Gunfire
Henry Bluford,50.0,Gunfire
John A. Weimar,39.0,Gunfire
Andrew Jackson Russell,36.0,Gunfire
Abraham Bird,49.0,Gunfire
Alfred O. Wilson,33.0,Gunfire
Matthew W. Murphy,32.0,Gunfire
Edwin P. Daniels,31.0,Gunfire
Parker Morgan,28.0,Gunfire
Charles G. Bratton,26.0,Other
Charles F. Schoppe,42.0,Gunfire
John G. Duff,33.0,Gunfire
Robert Fleet,32.0,Heart attack
John J. Ellis,48.0,Other
James P. Farmer,24.0,Gunfire
W. H. Cliff,23.0,Other
William Hogsett,25.0,Other
Charles Webb,25.0,Gunfire
Noah H. Burns,33.0,Gunfire
Charles Hale,35.0,Gunfire
Mathew Hamilton,51.0,Heart attack
Thomas H. Chandler,56.0,Gunfire
Zach Allen,41.0,Other
Joseph H. Baker,40.0,Gunfire
John Cummings,38.0,Other
Alexander Ramsey,27.0,Gunfire
Benjamin Franklin Yost,34.0,Gunfire
Bartholomew B. Purdy,62.0,Heart attack
John L. Hart,44.0,Gunfire
Charles Patman,36.0,Gunfire
John Michael Kick,35.0,Gunfire
Cornelius L. Fahey,35.0,Gunfire
Albert M. Logan,23.0,Gunfire
Robert Ned Clendennen,25.0,Gunfire
Jacob Reupp,36.0,Gunfire
L. B. Smith,17.0,Gunfire
Josiah D. Baxter,57.0,Gunfire
Rufus N. Wallingford,58.0,Gunfire
J. Holman Leatherwood,27.0,Gunfire
Elisha Graham Johnson,36.0,Gunfire
James Hooker,60.0,Gunfire
Edward Riebsamen,38.0,Gunfire
T. C. Craig,57.0,Gunfire
Robert T. Frazier,46.0,Gunfire
George Carney,28.0,Gunfire
Thomas H. Branch,38.0,Gunfire
Zack Hall,21.0,Gunfire
George M. Crowell,45.0,Other
Jerome E. Goodner,30.0,Gunfire
Alexander C. Starks,37.0,Gunfire
Louis Gomenginger,35.0,Gunfire
"Abner B. Womack, Jr.",20.0,Gunfire
James W. Williams,33.0,Gunfire
Matthew B. Burgher,35.0,Other
Patrick McKeon,38.0,Other
Samuel B. Martin,25.0,Gunfire
Henry William Kaepernick,29.0,Other
Isaac H. Mitchell,27.0,Gunfire
Jackson M. Phillips,37.0,Other
Thomas Godwin,41.0,Gunfire
William J. Kelly,35.0,Other
Henry O'Donnell,33.0,Other
Newton C. Perkins,40.0,Gunfire
James Charles Henry Walker,37.0,Gunfire
William H. Dallas,32.0,Gunfire
B. B. Sullivan,24.0,Gunfire
"Moses L. ""Moak"" Wright",32.0,Gunfire
William T. Flint,33.0,Gunfire
Arthur J. Harrington,45.0,Gunfire
Robert L. Broaddus,38.0,Gunfire
Benjamin Ellsden,39.0,Gunfire
Felix H. Torbett,39.0,Gunfire
Charles Mayes,36.0,Gunfire
Alfred F. Duckworth,24.0,Gunfire
Benjamin Franklin Jones,31.0,Gunfire
Edward Gallagher,45.0,Gunfire
Anthony Kemper,23.0,Other
John M. Blake,60.0,Heart attack
Charles Kast,49.0,Gunfire
Judge Edward Lampley,21.0,Gunfire
Charles J. Coots,40.0,Gunfire
Adolph Cuny,46.0,Gunfire
Gilbert E. Reynolds,37.0,Other
Jacob Pennington Boyer,44.0,Other
Columbus C. Fitzgerald,35.0,Gunfire
Jackson T. Barfield,57.0,Gunfire
Alpheus D. Neill,50.0,Gunfire
"Maston Reynolds ""Boss"" Greene",33.0,Gunfire
John W. Love,35.0,Gunfire
Robert R. Olinger,33.0,Gunfire
Jason W. Fussell,50.0,Gunfire
Thomas Shaw,25.0,Other
George McGonigle,33.0,Gunfire
Henry Lucas,45.0,Other
S. Wellington McArthur,30.0,Other
John Sylvester White,29.0,Gunfire
Albert Gibson,35.0,Gunfire
George Ellis,35.0,Gunfire
Samuel Norman,35.0,Gunfire
James E. Stewart,37.0,Gunfire
Hugh W. Lea,25.0,Gunfire
Thomas W. Lannon,28.0,Gunfire
George V. Vise,37.0,Other
Robert Widdowfield,32.0,Gunfire
George O'Connor,29.0,Gunfire
"Ahijah W. ""Caige"" Grimes",27.0,Gunfire
George W. Stebbins,44.0,Other
Silas Ralston,39.0,Gunfire
John T. Arnold,30.0,Gunfire
Edward J. Masterson,26.0,Gunfire
Thomas Lyons,23.0,Other
Joseph Scott,42.0,Gunfire
Anderson M. Lancaster,42.0,Other
